Location Latitude,Location Longitude,value
53.229648,-1.193654,54.0
53.000467,-1.144629,2.0
53.151023,-0.994262,4.0
52.970298,-1.155705,10.0
53.002265,-0.401439,41.0
53.008755,-1.198623,62.0
53.136108,-1.168964,20.0
52.968781,-1.093973,50.0
53.016758,-1.297472,39.0
53.207769,-0.98437,27.0
53.134972,-1.266979,58.0
53.202827,-0.842588,10.0
53.138866,-1.192186,11.0
52.975015,-1.121778,6.0
52.962121,-1.161569,16.0
53.022744,-1.177759,60.0
53.096089,-1.003922,34.0
53.122427,-1.273349,21.0
53.121687,-1.27302,24.0
53.123245,-1.26322,40.0
53.132239,-1.24543,40.0
NaN,NaN,66.0
53.098784,-1.117605,42.0
53.092446,-1.321954,40.0
53.196925,-1.150544,20.0
52.953133,-0.967496,10.0
53.126199,-1.133198,12.0
52.989451,-0.420014,70.0
52.980361,-1.121746,35.0
52.889183,-0.407163,28.0
53.076958,-0.774446,64.0
53.003675,-1.149301,45.0
52.957663,-1.137777,42.0
52.922816,-1.218921,66.0
52.982357,-1.196805,6.0
52.952628,-1.031363,19.0
53.011704,-1.310819,30.0
52.938492,-1.21891,4.0
53.001921,-0.406593,67.0
52.965529,-1.145304,9.0
52.986836,-1.209176,60.0
52.966991,-1.079776,88.0
52.920756,-1.298163,81.0
53.124638,-1.276422,47.0
52.965774,-1.11357,29.0
53.057897,-0.785581,73.0
52.890138,-1.14209,50.0
53.191996,-1.164082,40.0
53.149268,-1.200362,21.0
53.029901,-1.207389,40.0
53.142898,-1.185039,8.0
53.100674,-1.119194,7.0
53.119093,-1.119114,8.0
53.130523,-1.280373,10.0
53.034205,-1.204462,12.0
52.991332,-1.190635,12.0
52.976904,-1.15196,12.0
52.973168,-1.123992,6.0
53.022885,-0.869802,8.0
53.082423,-1.25714,9.0
53.014195,-1.307992,8.0
52.962032,-1.110863,18.0
53.000614,-1.183246,41.0
52.963507,-1.165592,13.0
53.090882,-1.325144,6.0
52.965412,-1.227969,43.0
52.895114,-1.273679,16.0
52.999308,-1.193478,42.0
53.126392,-1.309898,1.0
53.081907,-1.246638,1.0
53.014427,-1.293796,44.0
52.994544,-1.08184,45.0
52.962793,-1.166335,16.0
53.209044,-1.226099,40.0
52.908848,-0.634579,17.0
53.023942,-1.226505,16.0
53.126894,-1.244477,49.0
52.912712,-1.144723,82.0
52.988746,-1.139885,31.0
52.938912,-1.237949,63.0
52.937398,-1.139531,6.0
52.935673,-1.12643,6.0
52.993985,-1.047572,5.0
52.898381,-1.181471,76.0
52.963544,-1.160678,28.0
52.985903,-1.040597,34.0
53.023942,-1.226505,8.0
52.981232,-1.144994,20.0
53.015096,-1.184583,6.0
53.038526,-1.216075,28.0
53.151023,-0.994262,6.0
53.138683,-1.213237,60.0
53.084333,-0.795035,50.0
53.122659,-1.262917,53.0
53.234247,-1.206587,52.0
52.936092,-1.130511,6.0
52.931206,-1.140059,6.0
52.937398,-1.139531,6.0
53.125426,-1.15578,3.0
53.1513,-0.75751,20.0
53.074162,-1.318868,23.0
53.099443,-1.254785,16.0
52.908948,-1.25321,39.0
52.95865,-1.211027,46.0
53.204604,-1.153327,72.0
52.946802,-1.044664,33.0
52.953459,-0.953392,35.0
53.130767,-1.177765,66.0
52.986836,-1.209176,78.0
52.924589,-1.220871,80.0
53.036576,-1.086468,50.0
53.005046,-1.131528,54.0
53.099349,-1.241405,42.0
52.973756,-1.140436,19.0
53.142046,-1.269851,5.0
52.903415,-1.284616,30.0
53.072252,-1.29339,42.0
52.914964,-0.66369,53.0
52.972182,-1.226761,21.0
52.928176,-1.129881,12.0
52.963764,-1.115309,6.0
52.963764,-1.115309,3.0
53.177548,-1.098424,9.0
52.973362,-1.103021,99.0
53.029822,-1.223987,75.0
52.926494,-1.241272,93.0
52.921371,-1.109554,79.0
53.154522,-1.213217,77.0
52.915944,-0.643518,24.0
