Location Latitude,Location Longitude,Cluster
53.229648,-1.193654,0
53.000467,-1.144629,2
53.151023,-0.994262,2
52.970298,-1.155705,2
53.002265,-0.401439,2
53.008755,-1.198623,2
53.136108,-1.168964,2
52.968781,-1.093973,2
53.016758,-1.297472,2
53.207769,-0.98437,0
53.134972,-1.266979,2
53.202827,-0.842588,2
53.138866,-1.192186,2
52.975015,-1.121778,2
52.962121,-1.161569,2
53.022744,-1.177759,2
53.096089,-1.003922,2
53.122427,-1.273349,2
53.121687,-1.27302,2
53.123245,-1.26322,2
53.132239,-1.24543,2
53.098784,-1.117605,2
53.092446,-1.321954,2
53.196925,-1.150544,0
52.953133,-0.967496,2
53.126199,-1.133198,2
52.989451,-0.420014,2
52.980361,-1.121746,2
52.889183,-0.407163,2
53.076958,-0.774446,2
53.003675,-1.149301,2
52.957663,-1.137777,2
52.922816,-1.218921,2
52.982357,-1.196805,2
52.952628,-1.031363,2
53.011704,-1.310819,2
52.938492,-1.21891,2
53.001921,-0.406593,2
52.965529,-1.145304,2
52.986836,-1.209176,2
52.966991,-1.079776,2
52.920756,-1.298163,2
53.124638,-1.276422,2
52.965774,-1.11357,2
53.057897,-0.785581,2
52.890138,-1.14209,2
53.191996,-1.164082,0
53.149268,-1.200362,2
53.029901,-1.207389,2
53.142898,-1.185039,2
53.100674,-1.119194,2
53.119093,-1.119114,2
53.130523,-1.280373,2
53.034205,-1.204462,2
52.991332,-1.190635,2
52.976904,-1.15196,2
52.973168,-1.123992,2
53.022885,-0.869802,2
53.082423,-1.25714,2
53.014195,-1.307992,2
52.962032,-1.110863,2
53.000614,-1.183246,2
52.963507,-1.165592,2
53.090882,-1.325144,2
52.965412,-1.227969,2
52.895114,-1.273679,2
52.999308,-1.193478,2
53.126392,-1.309898,2
53.081907,-1.246638,2
53.014427,-1.293796,2
52.994544,-1.08184,2
52.962793,-1.166335,2
53.209044,-1.226099,0
52.908848,-0.634579,2
53.023942,-1.226505,2
53.126894,-1.244477,2
52.912712,-1.144723,2
52.988746,-1.139885,2
52.938912,-1.237949,2
52.937398,-1.139531,2
52.935673,-1.12643,2
52.993985,-1.047572,2
52.898381,-1.181471,2
52.963544,-1.160678,2
52.985903,-1.040597,2
53.023942,-1.226505,2
52.981232,-1.144994,2
53.015096,-1.184583,2
53.038526,-1.216075,2
53.151023,-0.994262,2
53.138683,-1.213237,2
53.084333,-0.795035,2
53.122659,-1.262917,2
53.234247,-1.206587,0
52.936092,-1.130511,2
52.931206,-1.140059,2
52.937398,-1.139531,2
53.125426,-1.15578,2
53.1513,-0.75751,2
53.074162,-1.318868,2
53.099443,-1.254785,2
52.908948,-1.25321,2
52.95865,-1.211027,2
53.204604,-1.153327,0
52.946802,-1.044664,2
52.953459,-0.953392,2
53.130767,-1.177765,2
52.986836,-1.209176,2
52.924589,-1.220871,2
53.036576,-1.086468,2
53.005046,-1.131528,2
53.099349,-1.241405,2
52.973756,-1.140436,2
53.142046,-1.269851,2
52.903415,-1.284616,2
53.072252,-1.29339,2
52.914964,-0.66369,2
52.972182,-1.226761,2
52.928176,-1.129881,2
52.963764,-1.115309,2
52.963764,-1.115309,2
53.177548,-1.098424,2
52.973362,-1.103021,2
53.029822,-1.223987,2
52.926494,-1.241272,2
52.921371,-1.109554,2
53.154522,-1.213217,2
52.915944,-0.643518,2
52.926525,-1.131851,2
53.003161,-1.217342,2
52.898181,-1.030645,2
53.16563,-1.234927,2
52.949741,-1.035595,2
